ID,Subject,Services,ProgramServiceSubject,Section,SectionItem,Contents,StatePlanSection,PlanPage,pdfPageNumber,EffectiveDate,TransmittalNumber,Superseded1,Superseded2,Superseded3,Superseded4,Superseded5,Superseded6,Superseded7,Superseded8,Superseded9,Superseded10,Superseded11,Superseded12,Superseded13,Superseded14,Superseded15,Superseded16,Superseded17,Superseded18,Superseded19,Superseded20,Superseded21,Superseded22,Superseded23,Superseded24,Superseded25
100,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A ,Page 08,113,10/1/91,91-34,89-22,87-10,86-24,,85-01,82-02,,,,,,,,,,,,,,,,,,,
101,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A ,Page 09,114,10/1/91,91-34,89-22,87-10,86-24,86-22,85-01,82-02,,,,,,,,,,,,,,,,,,,
102,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A,Page 10,115,1/1/91,91-34,89-22,89-21,86-24,85-01,82-02,,,,,,,,,,,,,,,,,,,,
103,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A,Page 11,116,1/1/91,91-34,87-10,,,,,,,,,,,,,,,,,,,,,,,,
104,,DELETED,MM1,Financial Eligibility,,Removed by SPA 14-0002 MM1-MAGI,Attachment 2.6-A,Page 11a,117,4/1/92,92-10,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
105,,Eligibility,,Financial Eligibility,,1.e.(2) Removed by SPA 14-0002 MM1,Attachment 2.6-A,Page 12,118,4/1/92,92-10,91-34,87-10,86-24,85-04,85-01,82-02,,,,,,,,,,,,,,,,,,,
106,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A,Page 12a,119,1/1/93,93-05,92-10,,,,,,,,,,,,,,,,,,,,,,,,
107,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A,Page 12b,120,1/1/92,92-12,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
108,,MBI,Eligibility,Financial Eligibility,2.6-A,Resource Methodologies,Attachment 2.6-A,Page 12c,121,9/1/06,1-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
109,,MBI,Eligibility,Financial Eligibility,2.6-A,Payment of Premiums or Other Cost-Sharing Programs,Attachment 2.6-A,Page 12c.1,122,1/1/09,Aug-38,1-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
110,,MBI,Eligibility,Financial Eligibility,2.6-A,Exemption for Federal Disaster Areas,Attachment 2.6-A,Page 12c.2,123,2/3/11,Oct-46,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
111,,MBIC,Eligibility,Financial Eligibility,,,Attachment 2.6-A,Page 12d,124,1/1/11,2-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
112,,MBIC,Eligibility,Financial Eligibility,,,Attachment 2.6-A,Page 12e,125,1/1/11,2-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
113,,MBIC,Eligibility,Financial Eligibility,,,Attachment 2.6-A,Page 12f,126,1/1/11,2-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
114,,MBIC,Eligibility,Financial Eligibility,,,Attachment 2.6-A,Page 12g,127,1/1/11,2-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
115,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A,Page 13,128,10/1/93,93-43,91-34,89-21,,87-10,86-24,85-04,85-01,82-02,,,,,,,,,,,,,,,,,
116,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A,Page 14,129,10/1/91,91-36,91-34,89-21,,87-10,86-24,85-04,85-01,82-02,,,,,,,,,,,,,,,,,
117,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A,Page 14a,130,1/1/92,92-12,90-49,,,,,,,,,,,,,,,,,,,,,,,,
118,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A,Page 15,131,8/1/91,91-34,89-21,,87-10,86-24,85-04,85-01,82-02,,,,,,,,,,,,,,,,,,
119,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A,Page 15a,132,1/1/92,92-12,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
120,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A,Page 16,133,8/1/91,91-34,87-10,86-24,85-04,,,,,,,,,,,,,,,,,,,,,,
121,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A,Page 16a,134,8/1/91,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
122,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A,Page 17,135,8/1/91,91-34,89-05,87-10,86-24,,,,,,,,,,,,,,,,,,,,,,
123,,Eligibility,,Financial Eligibility,,5.e. Removed by SPA 14-0002 MM1,Attachment 2.6-A,Page 18,136,1/1/91,91-35,91-34,87-10,86-24,,,,,,,,,,,,,,,,,,,,,,
124,,DELETED,MM1,Financial Eligibility,,Removed by SPA 14-0002 MM1-MAGI,Attachment 2.6-A,Page 19,137,1/1/91,91-35,91-34,89-21,,87-10,86-24,,,,,,,,,,,,,,,,,,,,
125,,DELETED,MM1,Financial Eligibility,,Removed by SPA 14-0002 MM1-MAGI,Attachment 2.6-A,Page 19a,138,4/1/92,92-10,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
126,,DELETED,MM1,Financial Eligibility,,Removed by SPA 14-0002 MM1-MAGI,Attachment 2.6-A,Page 19b,139,4/1/92,92-10,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
127,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A,Page 20,140,1/1/92,92-12,91-34,89-21,,87-10,86-24,,,,,,,,,,,,,,,,,,,,
128,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A,Page 20a,141,4/1/93,93-18,92-12,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
129,,DELETED,MM1,Financial Eligibility,,Removed by SPA 14-0002 MM1-MAGI,Attachment 2.6-A,Page 21,142,4/1/92,92-10,91-35,89-05,,87-10,86-24,,,,,,,,,,,,,,,,,,,,
130,,Eligibility,,Financial Eligibility,,6.e Removed by SPA 14-0002 MM1,Attachment 2.6-A,Page 21a,143,4/1/92,92-10,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
131,Eligibility,Resources,QMB-SLMB,Financial Eligibility,,,Attachment 2.6-A,Page 22,144,4/1/10,Oct-47,93-18,87-10,86-24,,,,,,,,,,,,,,,,,,,,,,
132,Eligibility,Resources,QDWI,Financial Eligibility,,,Attachment 2.6-A,Page 22a,145,4/1/10,Oct-47,92-12,,,,,,,,,,,,,,,,,,,,,,,,
133,Eligibility,Resources,QMB-QDWI-SLMB-CN,Financial Eligibility,,Excess Resources,Attachment 2.6-A,Page 23,146,4/1/93,93-18,91-34,89-27,,87-10,86-24,,,,,,,,,,,,,,,,,,,,
134,Eligibility,Effective Date,"Aged, Blind, Disabled",Financial Eligibility,11.a.(1)(2),Effective Date of Eligibility,Attachment 2.6-A,Page 24,147,4/1/00,00-04,91-34,87-10,86-24,,,,,,,,,,,,,,,,,,,,,,
135,,Eligibility,,Financial Eligibility,,"Effective Date of Eligibility11.a.(3) Removed by SPA 14-0002 MM1",Attachment 2.6-A,Page 25,148,4/1/92,92-10,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
136,,Eligibility,Effective Date,Financial Eligibility,,Effective Date of Eligibility,Attachment 2.6-A,Page 25a,149,7/1/97,97-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
137,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A,Page 26,150,1/1/95,95-11,93-43,,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,
138,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A,Page 26a,151,9/1/09,Sep-32,98-02,,,,,,,,,,,,,,,,,,,,,,,,
139,,DELETED,MM1,Income Eligibility Levels-Mandatory Categorically Needy,,Removed by SPA 14-0002 MM1-MAGI,Supplement 1 to Attachment 2.6-A ,Page 01,152,9/1/04,23-Apr,12-Mar,,,,87-10,85-01,82-02,SuperNone,,,,,,,,,,,,,,,,,
140,,DELETED,MM1,Income Eligibility Levels-Mandatory Categorically Needy,,Removed by SPA 14-0002 MM1-MAGI,Supplement 1 to Attachment 2.6-A,Page 01a,153,4/1/96,96-12,94-22,,,,,,,,,,,,,,,,,,,,,,,,
141,,DELETED,MM1,Income Eligibility Levels-Mandatory Categorically Needy,,Removed by SPA 14-0002 MM1-MAGI,Supplement 1 to Attachment 2.6-A ,Page 02,154,4/1/92,92-10,91-34,,,,87-10,85-01,82-02,SuperNone,,,,,,,,,,,,,,,,,
142,,DELETED,MM1,Income Eligibility Levels-Optional Categorically Needy Groups w/ Incomes FPL,,Removed by SPA 14-0002 MM1-MAGI,Supplement 1 to Attachment 2.6-A ,Page 03,155,9/1/04,23-Apr,12-Mar,,,,87-10,85-01,82-02,SuperNone,,,,,,,,,,,,,,,,,
143,,Eligibility,,Income Eligibility Levels-Optional Categorically Needy Groups w/ Incomes SSI,,,Supplement 1 to Attachment 2.6-A,Page 03a,156,11/16/94,94-30,94-25,,,,,,,,,,,,,,,,,,,,,,,,
144,,DELETED,MM1,Deleted by TN 91-05,,Removed by SPA 14-0002 MM1-MAGI,Supplement 1 to Attachment 2.6-A ,Page 04,157,,91-05,91-04,,,,87-10,,,SuperNone,,,,,,,,,,,,,,,,,
145,,Eligibility,,Income Eligibility Levels-Aged and Disabled Individuals,,,Supplement 1 to Attachment 2.6-A ,Page 05,158,10/1/91,91-34,87-10,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
146,,Eligibility,QMB,Income Eligibility Levels-QMB-FPL,,,Supplement 1 to Attachment 2.6-A ,Page 06,159,4/1/92,92-15,92-07,,,,,,,,,,,,,,,,,,,,,,,,
147,,Eligibility,QMB,Income Eligibility Levels-QMB-FPL,,,Supplement 1 to Attachment 2.6-A ,Page 07,160,10/1/91,91-34,91-21,,,,,,,,,,,,,,,,,,,,,,,,
148,,Eligibility,,Income Eligibility Levels,,Medically Needy,Supplement 1 to Attachment 2.6-A ,Page 08,161,4/1/94,94-22,91-36,,,,,,,,,,,,,,,,,,,,,,,,
149,,Eligibility,,Income Eligibility Levels,,Medically Needy,Supplement 1 to Attachment 2.6-A ,Page 09,162,4/1/94,94-22,91-36,,,,,,,,,,,,,,,,,,,,,,,,
150,,Eligibility,,Income Eligibility Levels,,Medically Needy,Supplement 1 to Attachment 2.6-A,Page 09a,163,4/1/94,94-22,91-36,,,,,,,,,,,,,,,,,,,,,,,,
151,,DELETED,MM1,Resource Levels-Pregnant Women,,Removed by SPA 14-0002 MM1-MAGI,Supplement 2 to Attachment 2.6-A ,Page 01,164,12/1/91,91-35,91-34,88-11,,87-10,85-01,82-02,,,,,,,,,,,,,,,,,,,
152,,DELETED,MM1,Resource Levels-Infants,,Removed by SPA 14-0002 MM1-MAGI,Supplement 2 to Attachment 2.6-A ,Page 02,165,10/1/91,91-34,88-11,,87-10,82-02,,,,,,,,,,,,,,,,,,,,,
153,,DELETED,MM1,Resource Levels-Infants,,Removed by SPA 14-0002 MM1-MAGI,Supplement 2 to Attachment 2.6-A ,Page 03,166,10/1/91,91-34,87-10,82-02,,,,,,,,,,,,,,,,,,,,,,,
154,,DELETED,MM1,Resource Levels-Children,,Removed by SPA 14-0002 MM1-MAGI,Supplement 2 to Attachment 2.6-A ,Page 04,167,4/1/92,92-10,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
155,,DELETED,MM1,Resource Levels-Children,,Removed by SPA 14-0002 MM1-MAGI,Supplement 2 to Attachment 2.6-A ,Page 05,168,4/1/92,92-17,92-10,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
156,,,,Resource Levels-Aged and Disabled Individuals,,,Supplement 2 to Attachment 2.6-A ,Page 06,169,10/1/91,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
157,,,Medically Needy,Resource Levels-Medically Needy,,,Supplement 2 to Attachment 2.6-A ,Page 07,170,9/1/03,12-Mar,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
158,,,,Reasonable Limits on Amounts for Necessary Medical or Remedial Caer not Covered MCD,,,Supplement 3 to Attachment 2.6-A ,Page 01,171,8/1/09,21-Sep,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,Methods for Treatment of Income that differ from those of the SSI Program,,,Supplement 4 to Attachment 2.6-A ,Page 01,172,10/1/91,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,More Restrictive Methods of Treating Resources than those of the SSI Program,,,Supplement 5 to Attachment 2.6-A ,Page 01,173,10/1/91,91-34,87-10,85-01,,,,,,,,,,,,,,,,,,,,,,,
161,,,,Methods for Treatment of Resources for individuals with incomes related to FPL,,,Supplement 5a to Attachment 2.6-A ,Page 01,174,12/1/91,91-35,91-34,89-22,,87-10,SuperNone,,,,,,,,,,,,,,,,,,,,
162,,,,Standard for Optional State Supplementary Payments,,,Supplement 6 to Attachment 2.6-A ,Page 01,175,1/1/06,19-Jun,10-Mar,,,,,,,,,,,,,,,,,,,,,,,,
163,,,Income,Income Levels for 1902(f) States,,,Supplement 7 to Attachment 2.6-A ,Page 01,176,10/1/91,91-34,85-01,,,,,,,,,,,,,,,,,,,,,,,,
164,,,Resource,Resource Standards for 19029(f) States,,,Supplement 8 to Attachment 2.6-A ,Page 01,177,10/1/91,91-34,85-01,,,,,,,,,,,,,,,,,,,,,,,,
165,,DELETED,MM1,More Liberal Methods of Treating Income Under Section 1902(r)(2),,Removed by SPA 14-0002 MM1-MAGI,Supplement 8a to Attachment 2.6-A ,Page 01,178,4/1/96,96-12,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
166,,MBI,Income Disregards,More Liberal Methods of Treating Income Under Section 1902(r)(2),2.6-A,Medicaid Buy-In (MBI),Supplement 8a to Attachment 2.6-A,Page 01a,179,9/1/06,1-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
167,,Disregards,Income,Less Restrictive Methods of Treating Income Under Section 1902(r)(2),,"Eligibility groups not subject to the limitations on payment explained in SSA 1903(f)Related to Pregnant Women and Children_Removed by SPA 14-0002 MM1",Supplement 8a to Attachment 2.6-A,Page 01b,180,7/1/06,14-Aug,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
168,,Disregards,,More Liberal Methods of Treating Income Under Section 1902(r)(2),,Texas Save and Match Programs,Supplement 8a to Attachment 2.6-A ,Page 02,181,1/1/12,2-Dec,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
169,,Disregards,Income,More Liberal Methods of Treating Income Under Section 1902(r)(2),,"Texas Save and Match ProgramsRelated to Pregnant Women and Children_Removed by SPA 14-0002 MM1",Supplement 8a to Attachment 2.6-A ,Page 03,182,1/1/12,2-Dec,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
170,,DELETED,MM1,More Liberal Methods of Treating Income Under Section 1902(r)(2),,Removed by SPA 14-0002 MM1-MAGI,Supplement 8a to Attachment 2.6-A ,Page 04,183,12/31/13,13-51,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
171,,Disregards,Resource,More Liberal Methods of Treating Resources Under Section 1902(r)(2),,Non-Section 1902(f) State,Supplement 8b to Attachment 2.6-A ,Page 01,184,10/1/04,30-Apr,94-09,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,
172,,MBI,Resource Disregards,More Liberal Methods of Treating Resources Under Section 1902(r)(2),2.6-A,Medicaid Buy-In (MBI),Supplement 8b to Attachment 2.6-A ,Page 02,185,9/1/06,1-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
173,,MBIC,Income Disregards,More Liberal Methods of Treating Income Under Section 1902(r)(2),,Family Opportunity Act,Supplement 8b to Attachment 2.6-A ,Page 03,186,1/1/11,2-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
174,,Disregards,Resource,More Liberal Methods of Treating Resources Under Section 1902(r)(2),,Texas Save and Match Programs,Supplement 8b to Attachment 2.6-A ,Page 04,187,1/1/12,2-Dec,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
175,,Disregards,Resource,More Liberal Methods of Treating Resources Under Section 1902(r)(2),,"Texas Save and Match ProgramsAll groups listed except Medically Needy_Removed by SPA 14-0002 MM1",Supplement 8b to Attachment 2.6-A ,Page 05,188,1/1/12,2-Dec,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
176,,LTSS,Insurance,State Long-Term Care Insurance Partnership,,,Supplement 8c to Attachment 2.6-A ,Page 01,189,3/1/08,3-Aug,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
177,,LTSS,Insurance,State Long-Term Care Insurance Partnership,,,Supplement 8c to Attachment 2.6-A ,Page 02,190,3/1/08,3-Aug,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
178,,Nursing Facility,Denial,Transfer of Resources,,,Supplement 9 to Attachment 2.6-A ,Page 01,191,10/1/93,93-43,90-16,,,,,,,,,,,,,,,,,,,,,,,,
179,,Nursing Facility,Denial,Transfer of Resources,,,Supplement 9 to Attachment 2.6-A ,Page 02,192,10/1/93,93-43,85-01,,,,,,,,,,,,,,,,,,,,,,,,
180,,Nursing Facility,Denial,Transfer of Resources,,,Supplement 9 to Attachment 2.6-A ,Page 03,193,10/1/93,93-43,90-16,,,,,,,,,,,,,,,,,,,,,,,,
181,,Nursing Facility,Denial,Transfer of Resources,,,Supplement 9 to Attachment 2.6-A ,Page 04,194,10/1/93,93-43,90-16,,,,,,,,,,,,,,,,,,,,,,,,
182,,Nursing Facility,Denial,Transfer of Resources,,,Supplement 9 to Attachment 2.6-A ,Page 05,195,10/1/04,30-Apr,93-43,,,,,,,,,,,,,,,,,,,,,,,,
183,Nursing Facility,IID,Denial,Transfer of Assets,,,Supplement 9a to Attachment 2.6-A ,Page 01,196,1/1/95,95-11,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
184,Nursing Facility,IID,Denial,Transfer of Assets,,,Supplement 9a to Attachment 2.6-A ,Page 02,197,1/1/95,95-11,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
185,Nursing Facility,IID,Denial,Transfer of Assets,,,Supplement 9a to Attachment 2.6-A ,Page 03,198,1/1/95,95-11,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
186,Nursing Facility,IID,Denial,Transfer of Assets,"09.10.","Penalty periods-transfer by a spouse that results in a penalty period for the individual.Treatment of income as an asset.",Supplement 9a to Attachment 2.6-A ,Page 04,199,1/1/95,95-11,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
187,Nursing Facility,IID,Denial,Transfer of Assets,11,Imposition of a penalty would work an undue hardship.,Supplement 9a to Attachment 2.6-A ,Page 05,200,1/1/95,95-11,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
188,Nursing Facility,IID,Denial,Transfer of Assets,,,Supplement 9b to Attachment 2.6-A ,Page 01,201,2/8/06,20-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
189,Nursing Facility,IID,Denial,Transfer of Assets,,,Supplement 9b to Attachment 2.6-A ,Page 02,202,2/8/06,20-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
190,Nursing Facility,IID,Denial,Transfer of Assets,,,Supplement 9b to Attachment 2.6-A ,Page 03,203,2/8/06,20-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
191,Nursing Facility,IID,Denial,Transfer of Assets,,,Supplement 9b to Attachment 2.6-A ,Page 04,204,2/8/06,20-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
192,Nursing Facility,IID,Denial,Transfer of Assets,,,Supplement 9b to Attachment 2.6-A ,Page 05,205,2/8/06,20-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
193,Nursing Facility,IID,Denial,Transfer of Assets,,,Supplement 9b to Attachment 2.6-A ,Page 06,206,2/8/06,20-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
194,Nursing Facility,IID,Denial,Transfer of Assets,,Bed Hold Waivers for Hardship Applicants,Supplement 9b to Attachment 2.6-A ,Page 07,207,2/8/06,20-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
195,Nursing Facility,IID,Denial,Transfer of Assets,,Undue Hardship,Supplement 10 to Attachment 2.6-A ,Page 01,208,1/1/95,95-11,91-34,86-22,,SuperNone,,,,,,,,,,,,,,,,,,,,,
196,,HIPP,Cost Sharing,Cost Effectiveness Methodology for COBRA Continuation Beneficiaries,,,Supplement 11 to Attachment 2.6-A ,Page 01,209,1/1/92,92-12,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
197,Nursing Facility,IID,Personal Needs Allowance,Variations from the Basic Personal Needs Allowance,,,Supplement 12 to Attachment 2.6-A ,Page 01,210,9/1/09,Sep-32,99-04,,,,,,,,,,,,,,,,,,,,,,,,
198,,IID,Spouse,Section 1924 Provisions,,,Supplement 13 to Attachment 2.6-A ,Page 01,211,10/1/92,92-46,91-04,,,,,,,,,,,,,,,,,,,,,,,,
199,,DELETED,MM1,Eligibility under Section 1931 of the Act,,Removed by SPA 14-0002 MM1-MAGI,Supplement 14 to Attachment 2.6-A ,Page 01,212,1/1/98,98-02,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
200,,DELETED,MM1,Eligibility under Section 1931 of the Act,,Removed by SPA 14-0002 MM1-MAGI,Supplement 14 to Attachment 2.6-A ,Page 02,213,1/1/12,2-Dec,14-Aug,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,Eligibility under Section 1925 of the Act,,,Supplement 15 to Attachment 2.6-A ,Page 01,214,1/1/10,1-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
202,,Eligibility,TMA,Transitional Medical Assistance,,,Supplement 16 to Attachment 2.6-A ,Page 01,215,9/1/12,26-Dec,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
203,,Eligibility,TMA,Asset Verification System,,,Supplement 16 to Attachment 2.6-A ,Page 02,216,9/1/12,26-Dec,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
204,,LTSS,Denial,Disqualification for Long-Term Care Assistance for Individuals with Substantial Home Equity,,,Supplement 17 to Attachment 2.6-A ,Page 01,217,2/8/06,20-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
205,,Superseded,MAGI,SPA 14-0002 MM1,,Superseding Pages of State Plan Material,,Page 1,218,1/1/14,14-02,,,,,,,,,,,,,,,,,,,,,,,,,
206,,Superseded,MAGI,SPA 14-0002 MM1,,Superseding Pages of State Plan Material,,Page 2,219,1/1/14,14-02,,,,,,,,,,,,,,,,,,,,,,,,,
207,,Superseded,MAGI,SPA 14-003 MM3,,Superseding Pages of State Plan Material,,Page 1,220,1/1/14,14-03,,,,,,,,,,,,,,,,,,,,,,,,,
208,,Superseded,MAGI,SPA 14-004 MM5,,Superseding Pages of State Plan Material,,Page 1,221,1/1/14,14-04,,,,,,,,,,,,,,,,,,,,,,,,,
209,,Eligibility,MAGI,MAGI-Based Income Methodologies,,MAGI-Based Income Methodologies,S10,Page 1 of 2,222,1/1/14,14-03,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
210,,Eligibility,MAGI,MAGI-Based Income Methodologies,,MAGI-Based Income Methodologies,S10,Page 2 of 2,223,1/1/14,14-03,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
211,,Eligibility,MAGI,AFDC Income Standards,,,S14,Page 1 of 7,224,1/1/14,14-02,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
212,,Eligibility,MAGI,AFDC Income Standards,,,,Page 2 of 7,225,1/1/14,14-02,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
213,,Eligibility,MAGI,AFDC Income Standards,,,,Page 3 of 7,226,1/1/14,14-02,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
214,,Eligibility,MAGI,AFDC Income Standards,,,,Page 4 of 7,227,1/1/14,14-02,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
215,,Eligibility,MAGI,AFDC Income Standards,,,,Page 5 of 7,228,1/1/14,14-02,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
216,,Eligibility,MAGI,AFDC Income Standards,,,,Page 6 of 7,229,1/1/14,14-02,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
217,,Eligibility,MAGI,AFDC Income Standards,,,,Page 7 of 7,230,1/1/14,14-02,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
218,,Eligibility,MAGI,Presumptive Eligibility by Hospitals,,Presumptive Eligibility by Hospitals,S21,Page 1 of 3,231,1/1/14,14-06,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
219,,Eligibility,MAGI,Presumptive Eligibility by Hospitals,,Presumptive Eligibility by Hospitals,S21,Page 2 of 3,232,1/1/14,14-06,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
220,,Eligibility,MAGI,Presumptive Eligibility by Hospitals,,Presumptive Eligibility by Hospitals,S21,Page 3 of 3,233,1/1/14,14-06,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
221,,Eligibility,MAGI,Eligibility Groups_Mandatory Coverage,,Parents and Other Caretaker Relatives,S25,Page 1 of 3,234,1/1/14,14-02,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
222,,Eligibility,MAGI,Eligibility Groups_Mandatory Coverage,,Parents and Other Caretaker Relatives,S25,Page 2 of 3,235,1/1/14,14-02,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
223,,Eligibility,MAGI,Eligibility Groups_Mandatory Coverage,,Parents and Other Caretaker Relatives,S25,Page 3 of 3,236,1/1/14,14-02,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
224,,Administration,MAGI,Medicaid Administration,,100-hour rule,,HCFA-179,237,1/1/14,14-02,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
225,Eligibility,Pregnant Women,,Eligibility Groups_Mandatory Coverage,,Pregnant Women,S28,Page 1 of 4,238,1/1/14,14-02,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
226,Eligibility,Pregnant Women,,Eligibility Groups_Mandatory Coverage,,Pregnant Women,S28,Page 2 of 4,239,1/1/14,14-02,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
